アメダス観測所番号,地上観測所観測所番号,観測所名_漢字名,観測所名_ローマ字名
AMeDAS station number,Surface station station number,Station name_Kanji,Station name_Roman alphabet
11001,-,宗谷岬,SOYAMISAKI
11016,47401,稚内,WAKKANAI
11046,-,礼文,REBUN
11061,-,声問,KOETOI
11076,-,浜鬼志別,HAMAONISHIBETSU
11091,-,本泊,MOTODOMARI
11121,-,沼川,NUMAKAWA
11151,-,沓形,KUTSUGATA
11176,-,豊富,TOYOTOMI
11206,-,浜頓別,HAMATOMBETSU
11276,-,中頓別,NAKATOMBETSU
11291,47402,北見枝幸,KITAMI-ESASHI
11316,-,歌登,UTANOBORI
13011,-,幌延,HORONOBE
12011,-,中川,NAKAGAWA
12041,-,音威子府,OTOINEPPU
12066,-,小車,OGURUMA
12141,-,美深,BIFUKA
12181,-,名寄,NAYORO
12217,-,西風連,NISHIFUREN
12231,-,下川,SHIMOKAWA
12256,-,剣淵,KENBUCHI
12261,-,士別,SHIBETSU
12266,-,朝日,ASAHI
12301,-,和寒,WASSAMU
12386,-,江丹別,ETAMBETSU
12396,-,比布,PIPPU
12411,-,上川,KAMIKAWA
12442,47407,旭川,ASAHIKAWA
12451,-,東川,HIGASHIKAWA
12457,-,瑞穂,MIZUHO
12471,-,層雲峡,SOUNKYO
12501,-,東神楽,HIGASHI-KAGURA
12512,-,志比内,CHUBETSU
12551,-,美瑛,BIEI
12596,-,上富良野,KAMIFURANO
12607,-,白金,SHIROGANE
12626,-,富良野,FURANO
12632,-,麓郷,ROKUGO
12686,-,金山,KANAYAMA
12691,-,幾寅,IKUTORA
12746,-,占冠,SHIMUKAPPU
15041,-,朱鞠内,SHUMARINAI
15076,-,幌加内,HOROKANAI
13061,-,天塩,TESHIO
13086,-,遠別,EMBETSU
13121,-,初山別,SHOSAMBETSU
13146,-,焼尻,YAGISHIRI
13181,47404,羽幌,HABORO
13206,-,古丹別,KOTAMBETSU
13261,-,達布,TAPPU
13277,47406,留萌,RUMOI
13311,-,増毛,MASHIKE
13321,-,幌糠,HORONUKA
14026,-,浜益,HAMAMASU
14071,-,厚田,ATSUTA
14101,-,新篠津,SHINSHINOTSU
14116,-,山口,YAMAGUCHI
14121,-,石狩,ISHIKARI
14136,-,江別,EBETSU
14157,-,手稲山,TEINEYAMA
14163,47412,札幌,SAPPORO
14163,47412,札幌,SAPPORO
14191,-,小金湯,KOGANEYU
14206,-,恵庭島松,ENIWASHIMAMATSU
14286,-,支笏湖畔,SHIKOTSUKOHAN
14296,-,千歳,CHITOSE
15116,-,石狩沼田,ISHIKARINUMATA
15156,-,秩父別,CHIPPUBETSU
15161,-,深川,FUKAGAWA
15197,-,雨竜,URYU
15216,-,新城,SHINJO
15231,-,空知吉野,SORACHIYOSHINO
15241,-,滝川,TAKIKAWA
15247,-,赤平,AKABIRA
15251,-,芦別,ASHIBETSU
15276,-,浦臼,URAUSU
15311,-,月形,TSUKIGATA
15321,-,美唄,BIBAI
15356,47413,岩見沢,IWAMIZAWA
15391,-,栗沢,KURISAWA
15431,-,長沼,NAGANUMA
15442,-,夕張,YUBARI
15451,-,鹿島,KASHIMA
15491,-,沼の沢,NUMANOSAWA
16026,-,美国,BIKUNI
16061,-,神恵内,KAMOENAI
16076,-,余市,YOICHI
16091,47411,小樽,OTARU
16126,-,赤井川,AKAIGAWA
16156,-,共和,IWANAI
16206,-,蘭越,RANKOSHI
16217,47433,倶知安,KUTCHAN
16252,47421,寿都,SUTTSU
16272,-,ニセコ,NISEKO
16281,-,真狩,MAKKARI
16286,-,喜茂別,KIMOBETSU
16321,-,黒松内,KUROMATSUNAI
17036,47405,雄武,OMU
17076,-,興部,OKOPPE
17091,-,西興部,NISHI-OKOPPE
17112,47435,紋別,MOMBETSU
17116,-,紋別小向,MOMBETSUKOMUKAI
17166,-,湧別,YUBETSU
17196,-,滝上,TAKINOUE
17211,-,上藻別,KAMIMOBETSU
17246,-,常呂,TOKORO
17306,-,遠軽,ENGARU
17316,-,佐呂間,SAROMA
17341,47409,網走,ABASHIRI
17351,-,宇登呂,UTORO
17386,-,丸瀬布,MARUSEPPU
17482,-,白滝,SHIRATAKI
17501,-,生田原,IKUTAHARA
17512,-,仁頃山,NIKOROYAMA
17521,-,北見,KITAMI
17531,-,女満別,MEMAMBETSU
17541,-,東藻琴,HIGASHIMOKOTO
17546,-,小清水,KOSHIMIZU
17561,-,斜里,SHARI
17596,-,留辺蘂,RUBESHIBE
17607,-,境野,SAKAINO
17631,-,美幌,BIHORO
17642,-,山園,YAMAZONO
17686,-,置戸常元,OKETOTSUNEMOTO
17717,-,津別,TSUBETSU
17776,-,津別二又,TSUBETSUFUTAMATA
18038,-,羅臼,RAUSU
18091,-,糸櫛別,ITOKUSHIBETSU
18136,-,標津,SHIBETSU
18161,-,上標津,KAMISHIBETSU
18171,-,中標津,NAKASHIBETSU
18174,-,根室中標津,NEMURO-NAKASHIBETSU
18256,-,別海,BETSUKAI
18273,47420,根室,NEMURO
18281,-,納沙布,NOSAPPU
18311,-,厚床,ATTOKO
19021,-,川湯,KAWAYU
19051,-,弟子屈,TESHIKAGA
19076,-,阿寒湖畔,AKANKOHAN
19151,-,標茶,SHIBECHA
19191,-,鶴居,TSURUI
19261,-,中徹別,NAKATESHIBETSU
19281,-,塘路,TORO
19301,-,茶内原野,CHANAIGENYA
19311,-,榊町,SAKAKIMACHI
19346,-,阿寒,AKANDAI
19347,-,鶴丘,TSURUOKA
19376,-,太田,OTA
19406,-,二俣,FUTAMATA
19416,-,白糠,SHIRANUKA
19432,47418,釧路,KUSHIRO
19451,-,知方学,CHIPPOMANAI
20047,-,三股,MITSUMATA
20071,-,小利別,SHOTOSHIBETSU
20146,-,陸別,RIKUBETSU
20186,-,ぬかびら源泉郷,NUKABIRA
20202,-,柏倉,KASHIWAKURA
20222,-,上螺湾,KAMIRAWAN
20266,-,上士幌,KAMISHIHORO
20276,-,足寄,ASHORO
20331,-,押帯,OSHOPPU
20341,-,本別,HOMBETSU
20356,-,新得,SHINTOKU
20361,-,鹿追,SHIKAOI
20371,-,駒場,KOMABA
20421,-,芽室,MEMURO
20432,47417,帯広,OBIHIRO
20432,47417,帯広,OBIHIRO
20441,-,池田,IKEDA
20451,-,留真,RUSHIN
20506,-,浦幌,URAHORO
20551,-,帯広泉,OBIHIRO-IZUMI
20556,-,糠内,NUKANAI
20601,-,上札内,KAMISATSUNAI
20606,-,更別,SARABETSU
20631,-,大津,OTSU
20696,-,大樹,TAIKI
20751,47440,広尾,HIRO-O
21031,-,安平,ABIRA
21111,-,厚真,ATSUMA
21126,-,穂別,HOBETSU
21161,-,大滝,OTAKI
21171,-,森野,MORINO
21187,47424,苫小牧,TOMAKOMAI
21226,-,大岸,OKISHI
21237,-,洞爺湖温泉,TOYAKOONSEN
21251,-,カルルス,KARURUSU
21261,-,白老,SHIRAOI
21276,-,鵡川,MUKAWA
21297,-,伊達,DATE
21312,-,登別,NOBORIBETSU
21323,47423,室蘭,MURORAN
22036,-,日高,HIDAKA
22072,-,仁世宇,NISEU
22106,-,旭,ASAHI
22141,-,日高門別,HIDAKA-MOMBETSU
22156,-,新和,SHINWA
22206,-,笹山,SASAYAMA
22241,-,静内,SHIZUNAI
22291,-,三石,MITSUISHI
22306,-,中杵臼,NAKAKINEUSU
22327,47426,浦河,URAKAWA
22356,-,目黒,MEGURO
22366,-,幌満,HOROMAN
22391,-,えりも岬,ERIMOMISAKI
23031,-,長万部,OSHAMAMBE
23086,-,八雲,YAKUMO
23166,-,森,MORI
23191,-,大沼,ONUMA
23206,-,川汲,MINAMIKAYABE
23226,-,北斗,ONO
23232,47430,函館,HAKODATE
23281,47891,高松,TAKAMATSU
23291,-,戸井泊,TOI
23321,-,知内,SHIRIUCHI
23326,-,木古内,KIKONAI
23356,-,千軒,SENGEN
23376,-,松前,MATSUMAE
24141,-,熊石,KUMAISHI
24041,-,せたな,SETANA
24051,-,今金,IMAKANE
24101,-,奥尻,OKUSHIRI
24156,-,米岡,YONEOKA
24166,-,潮見,SHIOMI
24201,-,鶉,UZURA
24217,47428,江差,ESASHI
24236,-,石崎,ISHIZAKI
31001,-,大間,OMA
31036,-,湯野川,YUNOKAWA
31111,47576,むつ,MUTSU
31121,-,小田野沢,ODANOSAWA
31136,-,今別,IMABETSU
31156,-,脇野沢,WAKINOSAWA
31186,-,市浦,SHIURA
31201,-,蟹田,KANITA
31296,-,五所川原,GOSHOGAWARA
31312,47575,青森,AOMORI
31321,-,大和山,YAMATOYAMA
31332,-,野辺地,NOHEJI
31336,-,六ケ所,ROKKASHO
31366,-,鰺ケ沢,AJIGASAWA
31386,-,青森大谷,AOMORI-OTANI
31411,-,七戸,SHICHINOHE
31436,47574,深浦,FUKAURA
31451,-,岳,DAKE
31461,-,弘前,HIROSAKI
31466,-,黒石,KUROISHI
31482,-,酸ケ湯,SUKAYU
31506,-,三沢,MISAWA
31551,-,大鰐,OWANI
31562,-,温川,NURUKAWA
31586,-,十和田,TOWADA
31602,47581,八戸,HACHINOHE
31602,47581,八戸,HACHINOHE
31646,-,碇ケ関,IKARIGASEKI
31662,-,休屋,YASUMIYA
31671,-,戸来,HERAI
31721,-,三戸,SANNOHE
32056,-,八森,HACHIMORI
32071,-,藤里,FUJISATO
32091,-,陣場,JIMBA
32096,-,藤原,FUJIWARA
32111,-,能代,NOSHIRO
32126,-,鷹巣,TAKANOSU
32136,-,大館,ODATE
32146,-,鹿角,KEMANAI
32181,-,脇神,WAKIGAMI
32206,-,湯瀬,YUZE
32266,-,八幡平,HACHIMANTAI
32276,-,男鹿真山,OGASHINZAN
32286,-,男鹿,OGA
32287,-,大潟,OGATA
32296,-,五城目,GOJOME
32311,-,阿仁合,ANIAI
32312,-,比立内,HITACHINAI
32376,-,桧木内,HINOKINAI
32402,47582,秋田,AKITA
32407,-,岩見三内,IWAMISANNAI
32408,-,仁別,NIBETSU
32426,-,鎧畑,YOROIBATA
32431,-,田沢湖高原,TAZAWAKO-KOGEN
32451,-,雄和,YUWA
32466,-,角館,KAKUNODATE
32476,-,田沢湖,TAZAWAKO
32496,-,大正寺,DAISHOJI
32551,-,大曲,OMAGARI
32571,-,本荘,HONJO
32581,-,東由利,HIGASHIYURI
32596,-,横手,YOKOTE
32616,-,にかほ,KISAKATA
32626,-,矢島,YASHIMA
32681,-,笹子,JINEGO
32691,-,湯沢,YUZAWA
32701,-,東成瀬,HIGASHINARUSE
32771,-,湯の岱,YUNOTAI
33006,-,種市,TANEICHI
33026,-,軽米,KARUMAI
33071,-,二戸,NINOHE
33086,-,大野,ONO
33136,-,山形,YAMAGATA
33146,-,久慈,KUJI
33166,-,荒屋,ARAYA
33176,-,奥中山,OKUNAKAYAMA
33186,-,葛巻,KUZUMAKI
33201,-,下戸鎖,SHIMOTOKUSARI
33206,-,普代,FUDAI
33226,-,岩手松尾,IWATEMATSUO
33231,-,一方井,IKKATAI
33296,-,好摩,KOMA
33326,-,岩泉,IWAIZUMI
33336,-,小本,OMOTO
33351,-,葛根田,KAKKONDA
33361,-,滝沢,TAKIZAWA
33371,-,薮川,YABUKAWA
33421,-,雫石,SHIZUKUISHI
33431,47584,盛岡,MORIOKA
33441,-,区界,KUZAKAI
33472,47585,宮古,MIYAKO
33486,-,沢内,SAWAUCHI
33501,-,紫波,SHIWA
33526,-,川井,KAWAI
33566,-,豊沢,KOMAGASHIRAYAMA
33576,-,花巻,HANAMAKI
33581,-,大迫,OHASAMA
33596,-,附馬牛,TSUKIMOSHI
33611,-,大槌,OTSUCHI
33616,-,山田,YAMADA
33631,-,湯田,YUDA
33671,-,遠野,TOONO
33711,-,金ヶ崎,KANEGASAKI
33716,-,北上,KITAKAMI
33726,-,米里,YONESATO
33751,-,釜石,KAMAISHI
33776,-,若柳,WAKAYANAGI
33781,-,江刺,ESASHI
33801,-,住田,SUMITA
33831,-,祭畤,MATSURUBE
33841,-,衣川,KOROMOGAWA
33856,-,大東,DAITO
33877,47512,大船渡,OFUNATO
33911,-,一関,ICHINOSEKI
33921,-,千厩,SEMMAYA
34012,-,駒ノ湯,KOMANOYU
34026,-,気仙沼,KESENNUMA
34056,-,鴬沢,UGUISUZAWA
34096,-,川渡,KAWATABI
34111,-,築館,TSUKIDATE
34171,-,米山,YONEYAMA
34186,-,志津川,SHIZUGAWA
34206,-,加美,KAMI
34216,-,古川,FURUKAWA
34241,-,雄勝,OGATSU
34262,-,泉ケ岳,IZUMIGADAKE
34266,-,大衡,OHIRA
34276,-,鹿島台,KASHIMADAI
34292,47592,石巻,ISHINOMAKI
34296,-,女川,ONAGAWA
34311,-,新川,NIKKAWA
34331,-,塩釜,SHIOGAMA
34392,47590,仙台,SENDAI
34436,-,名取,NATORI
34461,-,白石,SHIROISHI
34462,-,蔵王,ZAO
34471,-,亘理,WATARI
34506,-,丸森,MARUMORI
34526,-,筆甫,HIPPO
35002,-,飛島,TOBISHIMA
35052,47587,酒田,SAKATA
35056,-,酒田大沢,SAKATAOSAWA
35071,-,差首鍋,SASUNABE
35086,-,浜中,HAMANAKA
35116,-,金山,KANEYAMA
35141,-,鶴岡,TSURUOKA
35146,-,狩川,KARIKAWA
35162,47520,新庄,SHINJO
35171,-,瀬見,SEMI
35176,-,向町,MUKAIMACHI
35201,-,櫛引,KUSHIBIKI
35216,-,肘折,HIJIORI
35231,-,尾花沢,OBANAZAWA
35246,-,鼠ケ関,NEZUGASEKI
35256,-,荒沢,ARASAWA
35332,-,村山,MURAYAMA
35334,-,東根,HIGASHINE
35361,-,大井沢,OISAWA
35376,-,左沢,ATERAZAWA
35426,47588,山形,YAMAGATA
35456,-,長井,NAGAI
35466,-,上山中山,KAMINOYAMANAKAYAMA
35486,-,小国,OGUNI
35511,-,高畠,TAKAHATA
35537,-,中津川,NAKATSUGAWA
35541,-,高峰,TAKAMINE
35552,-,米沢,YONEZAWA
36056,-,茂庭,MONIWA
36066,-,梁川,YANAGAWA
36106,-,桧原,HIBARA
36127,47595,福島,FUKUSHIMA
36127,47595,福島,FUKUSHIMA
36151,-,相馬,SOMA
36176,-,喜多方,KITAKATA
36196,-,鷲倉,WASHIKURA
36221,-,飯舘,IITATE
36231,-,原町,HARAMACHI
36251,-,西会津,NISHIAIZU
36276,-,猪苗代,INAWASHIRO
36291,-,二本松,NIHOMMATSU
36307,-,津島,TSUSHIMA
36342,-,金山,KANEYAMA
36361,47570,若松,WAKAMATSU
36391,-,船引,FUNEHIKI
36411,-,浪江,NAMIE
36426,-,只見,TADAMI
36461,-,湖南,KONAN
36476,-,郡山,KOORIYAMA
36501,-,川内,KAWAUCHI
36511,-,富岡,TOMIOKA
36536,-,南郷,NANGO
36562,-,湯本,YUMOTO
36571,-,長沼,NAGANUMA
36581,-,玉川,TAMAKAWA
36591,-,小野新町,ONONIIMACHI
36597,-,川前,KAWAMAE
36611,-,広野,HIRONO
36641,-,田島,TAJIMA
36667,47597,白河,SHIRAKAWA
36676,-,石川,ISHIKAWA
36716,-,桧枝岐,HINOEMATA
36726,-,舘岩,TATEIWA
36781,-,平,TAIRA
36821,-,東白川,HIGASHISHIRAKAWA
36836,-,山田,YAMADA
36846,47598,小名浜,ONAHAMA
36846,47598,小名浜,ONAHAMA
40041,-,花園,HANAZONO
40046,-,北茨城,OTSU
40061,-,大子,DAIGO
40066,-,徳田,TOKUDA
40076,-,大能,ONO
40091,-,常陸大宮,OSE
40126,-,中野,NAKANO
40136,-,日立,HITACHI
40181,-,門井,KYOWA
40191,-,笠間,KASAMA
40201,47629,水戸,MITO
40221,-,古河,KOGA
40231,-,下館,SHIMODATE
40241,-,柿岡,KAKIOKA
40251,-,美野里,MINORI
40281,-,下妻,SHIMOTSUMA
40311,-,鉾田,HOKOTA
40326,-,坂東,IWAI
40336,-,つくば,NAGAMINE
40341,-,土浦,TSUCHIURA
40391,-,江戸崎,EDOSAKI
40406,-,鹿嶋,KASHIMA
40426,-,龍ケ崎,RYUGASAKI
41011,-,那須高原,NASU
41076,-,五十里,IKARI
41091,-,黒磯,KUROISO
41116,-,土呂部,DOROBU
41141,-,大田原,OTAWARA
41166,47690,奥日光,NIKKO
41172,-,日光東町,NIKKOHIGASHIMACHI
41181,-,塩谷,SHIOYA
41211,-,足尾,ASHIO
41241,-,高根沢,TAKANEZAWA
41247,-,那須烏山,NASU-KARASUYAMA
41271,-,鹿沼,KANUMA
41277,47615,宇都宮,UTSUNOMIYA
41311,-,葛生,KUZUU
41331,-,真岡,MOOKA
41356,-,足利,ASHIKAGA
41361,-,佐野,SANO
41371,-,栃木,TOCHIGI
41376,-,小山,OYAMA
42046,-,藤原,FUJIWARA
42091,-,みなかみ,MINAKAMI
42106,-,片品,KATASHINA
42121,-,草津,KUSATSU
42146,-,沼田,NUMATA
42186,-,中之条,NAKANOJO
42221,-,田代,TASHIRO
42241,-,榛名山,HARUNASAN
42251,47624,前橋,MAEBASHI
42251,47624,前橋,MAEBASHI
42261,-,黒保根,KUROHONE
42266,-,桐生,KIRYU
42286,-,上里見,KAMISATOMI
42302,-,伊勢崎,ISESAKI
42326,-,西野牧,NISHI-NOMAKI
42341,-,藤岡,FUJIOKA
42366,-,館林,TATEBAYASHI
42396,-,神流,MAMBA
43051,-,寄居,YORII
43056,47626,熊谷,KUMAGAYA
43091,-,上吉田,KAMIYOSHIDA
43121,-,鴻巣,KONOSU
43126,-,久喜,KUKI
43151,-,三峰,MITSUMINE
43156,47641,秩父,CHICHIBU
43157,-,浦山,URAYAMA
43162,-,ときがわ,TOKIGAWA
43171,-,鳩山,HATOYAMA
43231,-,飯能,HANNO
43241,-,さいたま,URAWA
43256,-,越谷,KOSHIGAYA
43266,-,所沢,TOKOROZAWA
44046,-,小河内,OGOCHI
44051,-,小沢,OZAWA
44056,-,青梅,OME
44071,-,練馬,NERIMA
44112,-,八王子,HACHIOJI
44116,-,府中,FUCHU
44126,-,世田谷,SETAGAYA
44132,47662,東京,TOKYO
44132,47662,東京,TOKYO
44136,-,江戸川臨海,SHIMKIBA
44166,-,羽田,HANEDA
44172,47675,大島,OSHIMA
44173,-,大島北ノ山,OSHIMA-KITANOYAMA
44191,-,利島,TOSHIMA
44207,-,新島,KAWAHARA
44216,-,神津島,KINNAGA
44226,47677,三宅島,MIYAKEJIMA
44228,-,三宅坪田,MIYAKETSUBOTA
44262,-,八重見ヶ原,YAEMIGAHARA
44263,47678,八丈島,HACHIJOJIMA
44263,47678,八丈島,HACHIJOJIMA
44281,-,青ヶ島,AOGASHIMA
44301,47971,父島,CHICHIJIMA
44316,-,母島,HAHAJIMA
44356,47991,南鳥島,MINAMITORISHIMA
50066,47639,富士山,FUJISAN
45061,-,我孫子,ABIKO
45081,-,香取,SAWARA
45086,-,東庄,TONOSHO
45106,-,船橋,FUNABASHI
45116,-,佐倉,SAKURA
45121,-,成田,NARITA
45147,47648,銚子,CHOSHI
45181,-,横芝光,YOKOSHIBA
45212,47682,千葉,CHIBA
45261,-,茂原,MOBARA
45282,-,木更津,KISARAZU
45291,-,牛久,USHIKU
45326,-,坂畑,SAKAHATA
45331,-,大多喜,KUROHARA
45346,-,鋸南,SAKUMA
45361,-,鴨川,KAMOGAWA
45371,47674,勝浦,KATSUURA
45401,47672,館山,TATEYAMA
46001,-,相模湖,SAGAMIKO
46046,-,相模原中央,SAGAMIHARA
46061,-,日吉,HIYOSHI
46076,-,丹沢湖,KUROKURA
46091,-,海老名,ATSUGI
46106,47670,横浜,YOKOHAMA
46136,-,平塚,HIRATSUKA
46141,-,辻堂,TSUJIDO
46161,-,箱根,HAKONE
46166,-,小田原,ODAWARA
46211,-,三浦,MIURA
48031,-,野沢温泉,NOZAWAONSEN
48061,-,信濃町,SHINANOMACHI
48066,-,飯山,IIYAMA
48097,-,小谷,OTARI
48141,-,白馬,HAKUBA
48146,-,鬼無里,KINASA
48156,47610,長野,NAGANO
48172,-,笠岳,KASADAKE
48191,-,大町,OMACHI
48196,-,信州新町,SHINSHUSHIMMACHI
48216,-,菅平,SUGADAIRA
48247,-,聖高原,HIJIRI-KOGEN
48256,-,上田,UEDA
48296,-,穂高,HOTAKA
48321,-,東御,TOBUMACHI
48331,47622,軽井沢,KARUIZAWA
48331,47622,軽井沢,KARUIZAWA
48346,-,上高地,KAMIKOCHI
48361,47618,松本,MATSUMOTO
48363,-,松本今井,MATSUMOTO-IMAI
48371,-,鹿教湯,KAKEYU
48381,-,立科,TATESHINA
48386,-,佐久,SAKU
48436,-,白樺湖,SHIRAKABAKO
48466,-,奈川,NAGAWA
48491,47620,諏訪,SUWA
48491,47620,諏訪,SUWA
48516,-,北相木,KITAAIKI
48531,-,開田高原,KAIDA
48536,-,木祖薮原,KISO-YABUHARA
48546,-,辰野,TATSUNO
48556,-,高遠,TAKATO
48561,-,原村,HARAMURA
48571,-,野辺山,NOBEYAMA
48601,-,御嶽山,ONTAKESAN
48606,-,木曽福島,KISOFUKUSHIMA
48621,-,伊那,INA
48681,-,宮田高原,MIYADA-KOGEN
48691,-,杉島,SUGISHIMA
48716,-,須原,SUHARA
48717,-,南木曽,NAGISO
48731,-,飯島,IIJIMA
48737,-,大鹿,OSHIKA
48767,47637,飯田,IIDA
48826,-,浪合,NAMIAI
48836,-,阿南,ANAN
48841,-,南信濃,MINAMISHINANO
49036,-,大泉,OIZUMI
49052,-,乙女湖,OTOMEKO
49086,-,韮崎,NIRASAKI
49142,47638,甲府,KOFU
49151,-,勝沼,KATSUNUMA
49161,-,大月,OTSUKI
49172,-,上野原,UENOHARA
49187,-,富士川,FUJIKAWA
49196,-,古関,KAMIKUISHIKI
49236,-,切石,NAKATOMI
49251,47640,河口湖,KAWAGUCHI-KO
49256,-,山中,YAMANAKA
49316,-,南部,NAMBU
50056,-,白糸,SHIRAITO
50106,-,井川,IKAWA
50112,-,有東木,UTOUGI
50136,-,御殿場,GOTEMBA
50196,-,富士,YOSHIWARA
50206,47657,三島,MISHIMA
50211,-,熱海伊豆山,ATAMIIZUSAN
50226,-,佐久間,SAKUMA
50232,-,春野,HARUNO
50241,-,川根本町,HONKAWANE
50247,-,鍵穴,KAGIANA
50261,-,清水,SHIMIZU
50281,47668,網代,AJIRO
50296,-,熊,KUMA
50317,-,高根山,TAKANESAN
50331,47656,静岡,SHIZUOKA
50371,-,三ヶ日,MIKKABI
50386,-,天竜,TENRYU
50391,-,三倉,MIKURA
50416,-,土肥,TOI
50426,-,湯ケ島,YUGASHIMA
