アメダス観測所番号,地上観測所観測所番号,観測所名_漢字名,観測所名_ローマ字名
50427,-,天城山,AMAGISAN
50456,47654,浜松,HAMAMATSU
50466,-,掛川,KAKEGAWA
50476,-,菊川牧之原,MAKINOHARA
50477,-,静岡空港,SHIZUOKA-KUKO
50491,-,松崎,MATSUZAKI
50506,-,稲取,INATORI
50536,-,磐田,FUKUDE
50551,47655,御前崎,OMAEZAKI
50561,47666,石廊崎,IROZAKI
51011,-,一宮,ICHINOMIYA
51031,-,愛西,HACHIKAI
51056,-,小原,OBARA
51071,-,稲武,INABU
51077,-,茶臼山,CHAUSUYAMA
51096,-,蟹江,KANIE
51106,47636,名古屋,NAGOYA
51116,-,豊田,TOYOTA
51192,-,阿蔵,AZO
51216,-,大府,OBU
51226,-,岡崎,OKAZAKI
51241,-,作手,TSUKUDE
51247,-,新城,SHINSHIRO
51261,-,セントレア,SENTOREA
51271,-,一色,NISHIO
51281,-,蒲郡,GAMAGOORI
51311,-,南知多,MINAMICHITA
51331,-,豊橋,TOYOHASHI
51346,47653,伊良湖,IRAKO
51356,-,田原,TAHARA
52041,-,河合,KAWAI
52051,-,神岡,KAMIOKA
52081,-,白川,SHIRAKAWA
52111,-,栃尾,TOCHIO
52131,-,御母衣,MIBORO
52137,-,清見,KIYOMI
52146,47617,高山,TAKAYAMA
52152,-,丹生川,NYUKAWA
52173,-,ひるがの,HIRUGANO
52181,-,六厩,MUMAI
52192,-,船山,FUNAYAMA
52196,-,宮之前,MIYANOMAE
52221,-,長滝,NAGATAKI
52286,-,萩原,HAGIWARA
52321,-,関市板取,SEKISHIITADORI
52331,-,八幡,HACHIMAN
52346,-,宮地,MIYAJI
52381,-,樽見,TARUMI
52406,-,金山,KANAYAMA
52421,-,付知,TSUKECHI
52461,-,美濃,MINO
52476,-,伽藍,GARAN
52482,-,黒川,KUROKAWA
52511,-,揖斐川,IBIGAWA
52536,-,美濃加茂,MINOKAMO
52556,-,恵那,ENA
52557,-,中津川,NAKATSUGAWA
52571,-,関ケ原,SEKIGAHARA
52581,-,大垣,OGAKI
52586,47632,岐阜,GIFU
52606,-,多治見,TAJIMI
52642,-,上石津,KAMIISHIZU
53016,-,北勢,AGEKI
53041,-,桑名,KUWANA
53061,47684,四日市,YOKKAICHI
53091,-,亀山,KAMEYAMA
53112,47649,上野,UENO
53121,-,笠取山,KASATORIYAMA
53133,47651,津,TSU
53133,47651,津,TSU
53141,-,名張,NABARI
53151,-,白山,HAKUSAN
53196,-,小俣,OBATA
53231,-,粥見,KAYUMI
53257,-,鳥羽,TOBA
53287,-,藤坂峠,FUJISAKATOGE
53296,-,南伊勢,NANSEI
53307,-,阿児,AGO
53321,-,宮川,MIYAGAWA
53326,-,紀伊長島,KII-NAGASHIMA
53378,47663,尾鷲,OWASE
53401,-,熊野新鹿,KUMANOATASHIKA
53416,-,御浜,MIHAMA
54012,-,粟島,AWASHIMA
54041,-,弾崎,HAGIKIZAKI
54056,-,高根,TAKANE
54086,-,村上,MURAKAMI
54097,-,三面,MIOMOTE
54157,47602,相川,AIKAWA
54166,-,両津,RYOTSU
54181,-,中条,NAKAJO
54191,-,下関,SHIMOSEKI
54232,47604,新潟,NIIGATA
54232,47604,新潟,NIIGATA
54236,-,松浜,MATSUHAMA
54271,-,羽茂,HAMOCHI
54296,-,新津,NIITSU
54301,-,瓢湖,HYOKO
54311,-,赤谷,AKADANI
54341,-,巻,MAKI
54387,-,寺泊,TERADOMARI
54396,-,三条,SANJO
54406,-,村松,MURAMATSU
54421,-,津川,TSUGAWA
54462,-,宮寄上,MIYAYORIKAMI
54472,-,室谷,MUROYA
54501,-,長岡,NAGAOKA
54506,-,栃尾,TOCHIO
54541,-,柏崎,KASHIWAZAKI
54566,-,守門,IRIHIROSE
54586,-,大潟,OGATA
54606,-,小国,OGUNI
54616,-,小出,KOIDE
54621,-,大湯,OYU
54651,47612,高田,TAKADA
54661,-,安塚,YASUZUKA
54666,-,川谷,KAWADANI
54671,-,松代,MATSUDAI
54676,-,十日町,TOKAMACHI
54711,-,糸魚川,ITOIGAWA
54721,-,能生,NO
54737,-,筒方,DOGATA
54761,-,塩沢,SHIOZAWA
54816,-,関山,SEKIYAMA
54836,-,津南,TSUNAN
54841,-,湯沢,YUZAWA
54876,-,平岩,HIRAIWA
54892,-,樽本,TARUMOTO
55022,-,朝日,ASAHI
55041,-,氷見,HIMI
55056,-,魚津,UOZU
55063,-,宇奈月,UNAZUKI
55091,47606,伏木,FUSHIKI
55102,47607,富山,TOYAMA
55141,-,砺波,TONAMI
55151,-,秋ヶ島,AKIGASHIMA
55156,-,大山,OYAMA
55166,-,上市,KAMIICHI
55191,-,南砺高宮,FUKUMITSU
55206,-,八尾,YATSUO
55217,-,立山芦峅,TATEYAMAASHIKURA
55252,-,五箇山,GOKAYAMA
55267,-,猪谷,
56036,-,珠洲,SUZU
56052,47600,輪島,WAJIMA
56081,-,門前,MONZEN
56093,-,三井,MII
56116,-,志賀,TOGI
56146,-,七尾,NANAODAINI
56176,-,羽咋,HAKUI
56186,-,かほく,UNOKE
56192,-,宝達志水,OSHIMIZU
56227,47605,金沢,KANAZAWA
56232,-,医王山,IOZEN
56276,-,小松,KOMATSU
56286,-,白山河内,TORIGOE
56301,-,加賀中津原,YAMANAKA
56346,-,白山白峰,SHIRAMINE
56401,-,舳倉島,HEGURAJIMA
57001,-,三国,MIKUNI
57026,-,春江,HARUE
57051,-,越廼,KOSHINO
57066,47616,福井,FUKUI
57071,-,美山,MIYAMA
57082,-,勝山,KATSUYAMA
57106,-,武生,TAKEFU
57121,-,大野,ONO
57176,-,九頭竜,KUZURYU
57206,-,今庄,IMAJO
57248,47631,敦賀,TSURUGA
57286,-,美浜,MIHAMA
57311,-,大飯,OI
57317,-,小浜,OBAMA
60026,-,柳ケ瀬,YANAGASE
60051,-,今津,IMAZU
60061,-,長浜,TORAHIME
60081,-,朽木平良,KUTSUKIHERA
60102,-,米原,SANTO
60116,-,南小松,KITAKOMATSU
60131,47761,彦根,HIKONE
60161,-,近江八幡,OMI-HACHIMAN
60196,-,東近江,GAMO
60216,-,大津,OTSU
60226,-,信楽,SHIGARAKI
60236,-,土山,TSUCHIYAMA
61001,-,間人,TAIZA
61031,-,峰山,MINEYAMATAMBA
61076,-,宮津,MIYAZU
61096,-,坂浦,SAKAURA
61111,47750,舞鶴,MAIZURU
61151,-,睦寄,KOYAOKA
61187,-,福知山,FUKUCHIYAMA
61192,-,三和,MIWA
61196,-,綾部山家,AYABEYAMAGA
61201,-,本庄,WACHI
61206,-,美山,MIYAMA
61241,-,須知,SHUCHI
61242,-,園部,SONOBE
61251,-,京北,KEIHOKU
61286,47759,京都,KYOTO
61286,47759,京都,KYOTO
61306,-,長岡京,NAGAOKAKYO
61326,-,京田辺,TANABE
62016,-,能勢,NOSE
62037,-,茨木,IBARAKI
62046,-,枚方,HIRAKATA
62051,-,豊中,TOYONAKA
62078,47772,大阪,OSAKA
62078,47772,大阪,OSAKA
62081,-,生駒山,IKOMAYAMA
62091,-,堺,SAKAI
62096,-,八尾,YAO
62101,-,関空島,KANKUJIMA
62111,-,河内長野,KAWACHINAGANO
62131,-,熊取,KUMATORI
63016,-,香住,KASUMI
63032,-,温泉,ONSEN
63051,47747,豊岡,TOYO-OKA
63071,-,兎和野高原,MURAOKA
63111,-,大屋,OYA
63116,-,八鹿,YOKA
63121,-,和田山,WADAYAMA
63201,-,生野,IKUNO
63216,-,柏原,KAIBARA
63241,-,佐用,SAYO
63251,-,一宮,ICHINOMIYA
63321,-,福崎,FUKUSAKI
63331,-,西脇,NISHIWAKI
63346,-,後川,HATSUKAGAWA
63366,-,上郡,KAMIGORI
63383,47769,姫路,HIMEJI
63411,-,三田,SANDA
63461,-,三木,MIKI
63477,-,西宮,NISHINOMIYA
63491,-,家島,IESHIMA
63496,-,明石,AKASHI
63517,-,神戸空港,KOBE-KUKO
63518,47770,神戸,KOBE
63518,47770,神戸,KOBE
63551,-,郡家,GUNGE
63571,47776,洲本,SUMOTO
63588,-,南淡,NANDAN
64036,47780,奈良,NARA
64036,47780,奈良,NARA
64041,-,針,HARI
64056,-,田原本,TAWARAMOTO
64076,-,曽爾,SONI
64091,-,葛城,TAIMA
64101,-,大宇陀,OUDA
64127,-,五條,GOJO
64136,-,吉野,YOSHINO
64161,-,天川,TENKAWA
64206,-,上北山,KAMIKITAYAMA
64227,-,風屋,KAZEYA
64236,-,下北山,SHIMOKITAYAMA
64262,-,葛川,KUZUKAWA
65021,-,葛城山,KATSURAGISAN
65026,-,かつらぎ,KATSURAGI
65036,-,友ケ島,TOMOGASHIMA
65042,47777,和歌山,WAKAYAMA
65042,47777,和歌山,WAKAYAMA
65061,-,高野山,KOYASAN
65106,-,湯浅,YUASA
65121,-,清水,YAHATA
65127,-,護摩壇山,GOMADANZAN
65162,-,龍神,RYUJIN
65201,-,川辺,KAWABE
65226,-,本宮,HONGU
65256,-,栗栖川,KURISUGAWA
65276,-,新宮,SHINGU
65288,-,南紀白浜,NANKI-SHIRAHAMA
65306,-,西川,NISHIKAWA
65311,-,色川,IROKAWA
65321,-,日置川,HIKIGAWA
65356,47778,潮岬,SHIONOMISAKI
66046,-,上長田,KAMINAGATA
66056,-,恩原,OMBARA
66091,-,千屋,CHIYA
66112,-,富,TOMI
66127,-,奈義,NAGI
66136,-,今岡,FURUMACHI
66171,-,久世,KUSE
66186,47756,津山,TSUYAMA
66221,-,新見,NIIMI
66226,-,下呰部,SHIMOAZAE
66237,-,旭西,ASAHINISHI
66251,-,赤磐,SUSAI
66276,-,陣山,JINYAMA
66287,-,吉備中央,KIBICHUO
66296,-,福渡,FUKUWATARI
66306,-,和気,WAKE
66336,-,高梁,TAKAHASHI
66346,-,日応寺,NICHIOJI
66381,-,佐屋,SAYA
66391,-,矢掛,YAKAGE
66408,47768,岡山,OKAYAMA
66408,47768,岡山,OKAYAMA
66421,-,虫明,MUSHIAGE
66446,-,倉敷,KURASHIKI
66481,-,笠岡,KASAOKA
66501,-,玉野,TAMANO
67016,-,高野,TAKANO
67026,-,道後山,DOGOYAMA
67052,-,君田,KIMITA
67106,-,三次,MIYOSHI
67116,-,庄原,SHOBARA
67126,-,東城,TOJO
67136,-,八幡,YAWATA
67151,-,大朝,OASA
67161,-,美土里,MIDORI
67191,-,油木,YUKI
67211,-,王泊,ODOMARI
67212,-,加計,KAKE
67217,-,都志見,TSUSHIMI
67231,-,甲田,KODA
67251,-,上下,JOGE
67271,-,内黒山,UCHIGUROYAMA
67292,-,三入,MIIRI
67306,-,安宿,ASUKA
67316,-,世羅,SERA
67326,-,府中,FUCHU
67351,-,佐伯湯来,SAEKIYUKI
67371,-,志和,SHIWA
67376,-,東広島,SAIJO
67386,-,本郷,HONGO
67401,47767,福山,FUKUYAMA
67421,-,廿日市津田,SAEKI
67437,47765,広島,HIROSHIMA
67437,47765,広島,HIROSHIMA
67461,-,竹原,TAKEHARA
67471,-,生口島,INNOSHIMA
67496,-,大竹,OTAKE
67511,47766,呉,KURE
67566,-,倉橋,KURAHASHI
67576,-,呉市蒲刈,KURE-SHI-KAMAGARI
68022,47740,西郷,SAIGO
68046,-,西郷岬,SAIGOMISAKI
68056,-,海士,AMA
68091,-,鹿島,KASHIMA
68121,-,斐川,HIKAWA
68132,47741,松江,MATSUE
68156,-,出雲,IZUMO
68166,-,大東,DAITO
68181,-,伯太,HAKUTA
68206,-,佐田,SADA
68246,-,大田,ODA
68261,-,掛合,KAKEYA
68276,-,横田,YOKOTA
68286,-,福光,FUKUMITSU
68306,-,赤名,AKANA
68346,-,桜江,SAKURAE
68351,-,川本,KAWAMOTO
68376,47755,浜田,HAMADA
68401,-,瑞穂,MIZUHO
68421,-,三隅,MISUMI
68431,-,弥栄,YASAKA
68436,-,波佐,HAZA
68456,-,高津,TAKATSU
68462,-,益田,MASUDA
68501,-,匹見,HIKIMI
68516,-,津和野,TSUWANO
68541,-,吉賀,YOSHIKA
69006,47742,境,SAKAI
69021,-,塩津,SHIMOICHI
69041,-,青谷,AOYA
69052,-,湖山,KOYAMA
69061,-,岩井,IWAI
69076,47744,米子,YONAGO
69101,-,倉吉,KURAYOSHI
69111,-,鹿野,SHIKANO
69122,47746,鳥取,TOTTORI
69152,-,大山,DAISEN
69161,-,関金,SEKIGANE
69181,-,佐治,SAJI
69196,-,若桜,WAKASA
69222,-,江尾,EBI
69246,-,智頭,CHIZU
69271,-,茶屋,CYAYA
71066,-,池田,IKEDA
71087,-,穴吹,ANABUKI
71106,47895,徳島,TOKUSHIMA
71106,47895,徳島,TOKUSHIMA
71136,-,半田,HANDA
71191,-,京上,KYOJO
71211,-,福原旭,FUKUHARAASAHI
71231,-,蒲生田,GAMODA
71251,-,木頭,KITO
71266,-,日和佐,HIWASA
71291,-,海陽,KAIYO
72061,-,内海,UCHINOMI
72086,47891,高松,TAKAMATSU
72111,47890,多度津,TADOTSU
72121,-,滝宮,TAKINOMIYA
72126,-,香南,KONAN
72146,-,引田,HIKETA
72161,-,財田,SAITA
72176,-,竜王山,RYUOZAN
73001,-,大三島,OMISHIMA
73071,-,玉川,TAMAGAWA
73076,-,今治,IMABARI
73126,-,西条,TAMBARA
73141,-,新居浜,NIIHAMA
73151,-,四国中央,MISHIMA
73152,-,富郷,TOMISATO
73166,47887,松山,MATSUYAMA
73166,47887,松山,MATSUYAMA
73168,-,松山南吉田,MATSUYAMA-MINAMIYOSHIDA
73231,-,上林,KAMIHAYASHI
73247,-,成就社,JOJUSHA
73256,-,長浜,NAGAHAMA
73271,-,中山,NAKAYAMA
73276,-,久万,KUMA
73306,-,大洲,OZU
73321,-,獅子越峠,SHISHIGOETOGE
73341,-,瀬戸,SETO
73351,-,八幡浜,YAWATAHAMA
73406,-,宇和,UWA
73442,47892,宇和島,UWAJIMA
73446,-,近永,CHIKANAGA
73516,-,御荘,MISHO
74056,-,本川,HONGAWA
74071,-,本山,MOTOYAMA
74101,-,池川,IKEGAWA
74126,-,繁藤,SHIGETO
74136,-,大栃,ODOCHI
74151,-,魚梁瀬,YANASE
74166,-,佐川,SAKAWA
74182,47893,高知,KOCHI
74182,47893,高知,KOCHI
74187,-,後免,GOMEN
74188,-,南国日章,NANKOKU-NISSHO
74237,-,船戸,FUNATO
74238,-,鳥形山,TORIGATAYAMA
74271,-,安芸,AKI
74276,-,田野,TANO
74296,-,梼原,YUSUHARA
74311,-,須崎,SUSAKI
74336,-,佐喜浜,SAKIHAMA
74361,-,窪川,KUBOKAWA
74372,47899,室戸岬,MUROTOMISAKI
74372,47899,室戸岬,MUROTOMISAKI
74381,-,江川崎,EKAWASAKI
74391,-,大正,TAISHO
74436,-,佐賀,SAGA
74447,47897,宿毛,SUKUMO
74456,-,中村,NAKAMURA
74506,-,三崎,MISAKI
74516,47898,清水,ASHIZURI
81011,-,須佐,SUSA
81071,47754,萩,HAGI
81116,-,油谷,YUYA
81146,-,篠生,SHINOBU
81151,-,徳佐,TOKUSA
81167,-,羅漢山,RAKANZAN
81196,-,秋吉台,AKIYOSHIDAI
81228,-,鹿野,KANO
81231,-,広瀬,HIROSE
81266,-,豊田,NISHIICHI
81271,-,東厚保,HIGASHIATSU
81286,47784,山口,YAMAGUCHI
81301,-,和田,WADA
81321,-,岩国,IWAKUNI
81371,-,防府,HOFU
81386,-,下松,KUDAMATSU
81397,-,玖珂,KUGA
81428,47762,下関,SHIMONOSEKI
81428,47762,下関,SHIMONOSEKI
81436,-,宇部,UBE
81481,-,柳井,YANAI
81486,-,安下庄,AGENOSHO
82036,-,小呂島,ORONOSHIMA
82046,-,宗像,MUNAKATA
82056,-,八幡,YAHATA
82068,-,空港北町,KUKO-KITAMACHI
82097,-,東谷,HIGASHITANI
82101,-,行橋,YUKUHASHI
82136,47809,飯塚,IIZUKA
82171,-,前原,MAEBARU
82182,47807,福岡,FUKUOKA
82182,47807,福岡,FUKUOKA
82186,-,博多,HAKATA
82191,-,太宰府,DAZAIFU
82206,-,添田,SOEDA
82241,-,早良脇山,SAWARAWAKIYAMA
82261,-,朝倉,AMAGI
82272,-,英彦山,HIKOSAN
82306,-,久留米,KURUME
82316,-,耳納山,MINOSAN
82317,-,黒木,KUROKI
82331,-,柳川,YANAGAWA
82361,-,大牟田,OMUTA
83021,-,国見,KUNIMI
83051,-,中津,NAKATSU
83061,-,豊後高田,BUNGOTAKADA
83096,-,耶馬渓,YABAKEI
83106,-,院内,INNAI
83121,-,杵築,KITSUKI
83126,-,武蔵,MUSASHI
83137,47814,日田,HITA
83191,-,玖珠,BUNGOKUSU
83201,-,湯布院,YUFUIN
83216,47815,大分,OITA
83226,-,佐賀関,SAGANOSEKI
83242,-,椿ヶ鼻,TSUBAKIGAHANA
83286,-,臼杵,USUKI
83341,-,犬飼,INUKAI
83371,-,竹田,TAKETA
83401,-,佐伯,SAIKI
83431,-,宇目,UME
83476,-,蒲江,KAMAE
84012,-,鰐浦,WANIURA
84072,47800,厳原,IZUHARA
84076,-,美津島,MITSUSHIMA
84121,-,芦辺,ASHIBE
84122,-,石田,ISHIDA
84171,47805,平戸,HIRADO
84183,-,松浦,MATSUURA
84266,47812,佐世保,SASEBO
84306,-,西海,SAIKAI
84341,-,有川,ARIKAWA
84361,-,長浦岳,NAGAURADAKE
84371,-,大村,OMURA
84441,-,諫早,ISAHAYA
84496,47817,長崎,NAGASAKI
84519,47818,雲仙岳,UNZENDAKE
84519,47818,雲仙岳,UNZENDAKE
84523,-,島原,SHIMABARA
84536,47843,福江,FUKUE
84537,-,上大津,KAMIOZU
84561,-,口之津,KUCHINOTSU
84597,-,脇岬,WAKIMISAKI
85033,-,唐津,KARATSU
85046,-,北山,HOKUZAN
85106,-,鳥栖,TOSU
85116,-,伊万里,IMARI
85142,47813,佐賀,SAGA
85161,-,嬉野,URESHINO
85166,-,白石,SHIROISHI
85176,-,川副,KAWASOE
86006,-,鹿北,KAHOKU
86066,-,南小国,MINAMIOGUNI
86086,-,岱明,TAIMEI
86101,-,菊池,KIKUCHI
86111,-,阿蘇乙姫,ASO-OTOHIME
86141,47819,熊本,KUMAMOTO
86141,47819,熊本,KUMAMOTO
86146,-,益城,MASHIKI
86157,-,南阿蘇,MINAMIASO
86156,47821,阿蘇山,ASOSAN
86161,-,高森,TAKAMORI
86181,-,宇土,UTO
86197,-,山都,YAMATO
86216,-,三角,MISUMI
86236,-,甲佐,KOSA
86271,-,松島,MATSUSHIMA
86316,-,本渡,HONDO
86336,-,八代,YATSUSHIRO
86396,-,田浦,TANOURA
86407,-,山江,YAMAE
86411,-,五木,ITSUKI
86451,-,水俣,MINAMATA
86461,-,一勝地,ISSHOCHI
86467,47824,人吉,HITOYOSHI
86477,-,上,UE
86478,-,多良木,TARAGI
86481,-,湯前横谷,ICHIFUSAYAMA
86491,47838,牛深,USHIBUKA
87041,-,高千穂,TAKACHIHO
87066,-,古江,FURUE
87071,-,鞍岡,KURAOKA
87086,-,日之影,HINOKAGE
87127,-,諸塚,MOROTSUKA
87136,-,北方,KITAKATA
87141,47822,延岡,NOBEOKA
87141,47822,延岡,NOBEOKA
87157,-,椎葉,SHIIBA
87181,-,日向,HYUGA
87206,-,神門,MIKADO
87231,-,西米良,NISHI-MERA
87251,-,都農,TSUNO
87293,-,高鍋,TAKANABE
87301,-,加久藤,KAKUTO
87331,-,西都,SAITO
87346,-,えびの高原,EBINO
87352,-,小林,KOBAYASHI
87361,-,野尻,IKENOO
87371,-,国富,HONJO
87376,47830,宮崎,MIYAZAKI
87406,-,田野,TANO
87412,-,赤江,AKAE
87426,47829,都城,MIYAKONOJO
87461,-,深瀬,FUKASE
87492,47835,油津,ABURATSU
87492,47835,油津,ABURATSU
87501,-,串間,KUSHIMA
88061,47823,阿久根,AKUNE
88066,-,出水,IZUMI
88081,-,大口,OKUCHI
88101,-,紫尾山,SHIBISAN
88107,-,さつま柏原,MIYANOJO
88131,-,中甑,NAKAKOSHIKI
88151,-,川内,SENDAI
88166,-,溝辺,MIZOBE
88211,-,八重山,IRIKITOGE
88261,-,東市来,HIGASHIICHIKI
88286,-,牧之原,MAKINOHARA
88317,47827,鹿児島,KAGOSHIMA
88331,-,輝北,KIHOKU
88341,-,大隅,OSUMI
88371,-,加世田,KASEDA
88392,-,吉ケ別府,YOSHIGABEPPU
88406,-,志布志,SHIBUSHI
88432,-,喜入,KIIRE
88442,-,鹿屋,KANOYA
88447,-,肝付前田,KOYAMA
88466,47831,枕崎,MAKURAZAKI
88486,-,指宿,IBUSUKI
88506,-,内之浦,UCHINOURA
88536,-,田代,TASHIRO
88551,-,佐多,SATA
88612,47837,種子島,TANEGASHIMA
88621,-,中種子,NAKATANE
88666,-,上中,KAMINAKA
88686,47836,屋久島,YAKUSHIMA
88706,-,尾之間,ONOAIDA
88736,-,中之島,NAKANOSHIMA
88746,-,平島,TAIRAJIMA
88756,-,諏訪之瀬島,SUWANOSEJIMA
88776,-,小宝島,KODAKARAJIMA
88781,-,宝島,TAKARAJIMA
88821,-,笠利,KASARI
88836,47909,名瀬,NAZE
88851,-,喜界島,KIKAIJIMA
88901,-,古仁屋,KONIYA
88931,-,天城,AMAGI
88956,-,伊仙,ISEN
88971,47942,沖永良部,OKINOERABU
88986,-,与論島,YORONJIMA
91011,-,伊是名,IZENA
91021,-,奥,OKU
91046,-,国頭,KUNIGAMI
91066,-,本部,MOTOBU
91081,-,東,HIGASHI
91096,-,粟国,AGUNI
91107,47940,名護,NAKAMA
91121,-,読谷,YOMITAN
91141,-,北原,KITAHARA
91146,47929,久米島,KUMEJIMA
91151,-,渡名喜,TONAKI
91161,-,胡屋,GOYA
91166,-,宮城島,MIYAGIJIMA
91181,-,渡嘉敷,TOKASHIKI
91197,47936,那覇,NAHA
91236,-,安次嶺,ASHIMINE
91241,-,糸数,ITOKAZU
92006,-,北大東,KITA-DAITO
92011,47945,南大東,MINAMI-DAITO
92012,-,旧東,KYUTO
93012,-,下地島,SHIMOJI
93041,47927,宮古島,MIYAKOJIMA
93042,-,鏡原,KAGAMIHARA
93051,-,城辺,GUSUKUBE
93062,-,仲筋,SHIOKAWA
94001,-,伊原間,IBARUMA
94011,-,所野,TOKORONO
94017,47912,与那国島,YONAGUNIJIMA
94036,-,川平,KABIRA
94062,47917,西表島,IRIOMOTEJIMA
94081,47918,石垣島,ISHIGAKIJIMA
94086,-,盛山,MORIYAMA
94101,-,大原,OTOMI
94116,-,波照間,HATERUMA
-,47646,館野,TATENO
